sale_date,sale_price,description,sale_id,lot_id,comments,title,grade,seal_grade,seal_type,variant
2021-01-25,528.0,9.6 A+ SEALED G.CUBE NINTENDO 2003 USA,122104,17973,NFR,THE LEGEND OF ZELDA: COLLECTOR'S EDITION,9.6,A+,SEALED,False
2021-08-24,120.0,7.0 NS GLUE SEAL 5200 ATARI 1986 USA,312134,69025,1986 Silver Box,GREMLINS,7.0,,GLUE SEAL,False
2020-03-23,408.0,9.0 CIB SNES SQUARE 1991 USA,122012,17865,"Made in Japan, Includes Map",FINAL FANTASY II,9.0,CIB,,False
2021-07-06,1020.0,6.5 CIB NES BANDAI 1987 USA,312127,66021,"Hangtab, No Rev-A, Round SOQ",ATHLETIC WORLD: FAMILY FUN FITNESS,6.5,CIB,,False
2019-09-08,780.0,HOGAN'S ALLEY NES NINTENDO 1985 USA,121936,13388,"Matte Sticker, Complete in Box",HOGAN'S ALLEY,7.0,CIB,,False
2020-11-02,120.0,9.6 A SEALED PS2 SQUARE ENIX 2004 USA,122044,11957,,FRONT MISSION 4,9.6,,SEALED,False
2020-08-24,312.0,9.6 A++ SEALED 2600 ATARI 1978 USA,122034,17780,"1988 Red Box, Later Production",SPACE INVADERS,9.6,A++,SEALED,False
2021-08-03,240.0,9.6 A+ SEALED PS2 EIDOS 2006 USA,312131,66106,,RESERVOIR DOGS,9.6,A+,SEALED,False
2019-08-18,384.0,GOLDENEYE 007,121933,15250,"NES, Nintendo, USA, 1998, Seal Rating",GOLDENEYE 007,007,A++,,False
2021-07-13,264.0,9.0 A++ SEALED 2600 M-NETWORK 1982 USA,312128,67002,1982 Black Box,BURGERTIME,9.0,A++,SEALED,False
2020-07-13,168.0,9.6 A++ SEALED G.CUBE NINTENDO 2004 USA,122028,13867,,FINAL FANTASY CRYSTAL CHRONICLES,9.6,A++,SEALED,False
2021-02-01,408.0,9.6 A+ SEALED NES KEMCO-SEIKA 1989 USA,122105,12047,Oval SOQ TM,SHADOWGATE,9.6,A+,SEALED,False
2020-12-21,312.0,9.0 A+ SEALED 2600 PARKER BROTHERS 1982 USA,122051,16042,1982 Silver box,FROGGER,9.0,A+,SEALED,False
2021-07-11,1680.0,9.6 A SEALED PS2 CAPCOM 2005 USA,7261,29299,,HAUNTING GROUND,9.6,,SEALED,False
2019-11-22,2340.0,9.6 A+ SEALED NES NINTENDO 1989 USA,7212,93016,"1 HP, First Release",DRAGON WARRIOR  - CAROLINA COLLECTION,9.6,A+,SEALED,False
2020-10-19,109.0,7.0 B SEALED NES GAMETEK 1989 USA,122042,15837,"Oval SOQ TM, Blue Box",HOLLYWOOD SQUARES,7.0,,SEALED,False
2021-07-09,4080.0,9.6 A+ SEALED NES ULTRA 1990 USA,7261,28049,"Oval SOQ TM, Early Production Hawaii Collection",SNAKE'S REVENGE,9.6,A+,SEALED,False
2021-06-29,2040.0,9.2 A++ SEALED GB NINTENDO 1992 USA,312126,70049,,SUPER MARIO LAND 2: 6 GOLDEN COINS,9.2,A++,SEALED,False
2019-11-22,2400.0,9.8 A+ SEALED NES NINTENDO 1988 USA,7212,93014,"Rev-A, Round SOQ",DONKEY KONG CLASSICS  - CAROLINA COLLECTION,9.8,A+,SEALED,False
2019-11-24,630.0,9.8 A++ SEALED NES ASC 1992 USA,7212,97165,,THE MUTANT VIRUS - CAROLINA COLLECTION,9.8,A++,SEALED,False
2020-02-17,384.0,8.0 CIB GEN SEGA 1991 USA,122007,16057,"Printed in Japan, Early Production",SONIC THE HEDGEHOG,8.0,CIB,,False
2021-07-13,1170.0,9.8 A+ SEALED XBOX UBISOFT 2002 USA,312128,67098,Microsoft Security Label,TOM CLANCY'S SPLINTER CELL,9.8,A+,SEALED,False
2020-05-25,1680.0,9.6 A+ SEALED INTV PARKER BROTHERS 1983 USA,122021,17772,,FROGGER,9.6,A+,SEALED,False
2021-04-27,192.0,9.6 A SEALED PS1 3DO 2000 USA,312117,69075,Sony Security Label,ARMY MEN: SARGE'S HEROES,9.6,,SEALED,False
2020-04-20,132.0,8.0 A SEALED NES NINTENDO 1993 CAN,122016,15637,"Oval SOQ TM, Canadian Version",TETRIS 2,8.0,,SEALED,False
